verb         ,verb_form                    ,mood        ,person      ,Gender ,Number ,Mood ,Person ,Tense ,VerbForm ,Definite ,PronType
caminase     ,pretérito imperfecto 2       ,Subjuntivo  ,yo          ,       ,Sing   ,Sub  ,     3 ,Imp   ,Fin      ,         ,
caminases    ,pretérito imperfecto 2       ,Subjuntivo  ,tú          ,Masc   ,Plur   ,     ,       ,      ,         ,         ,
caminase     ,pretérito imperfecto 2       ,Subjuntivo  ,él          ,       ,Sing   ,Sub  ,     3 ,Imp   ,Fin      ,         ,
caminásemos  ,pretérito imperfecto 2       ,Subjuntivo  ,nosotros    ,       ,Plur   ,Ind  ,     1 ,Pres  ,Fin      ,         ,
caminaseis   ,pretérito imperfecto 2       ,Subjuntivo  ,vosotros    ,Masc   ,Sing   ,     ,       ,      ,         ,         ,
caminasen    ,pretérito imperfecto 2       ,Subjuntivo  ,ellos       ,       ,Plur   ,Sub  ,     3 ,Imp   ,Fin      ,         ,
caminado     ,pretérito pluscuamperfecto 2 ,Subjuntivo  ,yo          ,Masc   ,Sing   ,     ,       ,      ,Part     ,         ,
caminado     ,pretérito pluscuamperfecto 2 ,Subjuntivo  ,tú          ,Masc   ,Sing   ,     ,       ,      ,Part     ,         ,
caminado     ,pretérito pluscuamperfecto 2 ,Subjuntivo  ,él          ,Masc   ,Sing   ,     ,       ,      ,Part     ,         ,
caminado     ,pretérito pluscuamperfecto 2 ,Subjuntivo  ,nosotros    ,Masc   ,Sing   ,     ,       ,      ,Part     ,         ,
caminado     ,pretérito pluscuamperfecto 2 ,Subjuntivo  ,vosotros    ,Masc   ,Sing   ,     ,       ,      ,Part     ,         ,
caminado     ,pretérito pluscuamperfecto 2 ,Subjuntivo  ,ellos       ,Masc   ,Sing   ,     ,       ,      ,Part     ,         ,
caminare     ,futuro                       ,Subjuntivo  ,yo          ,Fem    ,Sing   ,     ,       ,      ,         ,         ,
caminares    ,futuro                       ,Subjuntivo  ,tú          ,Masc   ,Plur   ,     ,       ,      ,         ,         ,
caminare     ,futuro                       ,Subjuntivo  ,él          ,Fem    ,Sing   ,     ,       ,      ,         ,         ,
camináremos  ,futuro                       ,Subjuntivo  ,nosotros    ,       ,Plur   ,Cnd  ,     1 ,      ,Fin      ,         ,
caminareis   ,futuro                       ,Subjuntivo  ,vosotros    ,Masc   ,Plur   ,     ,       ,      ,         ,         ,
caminaren    ,futuro                       ,Subjuntivo  ,ellos       ,       ,Sing   ,     ,       ,      ,         ,         ,
caminado     ,futuro perfecto              ,Subjuntivo  ,yo          ,Masc   ,Sing   ,     ,       ,      ,Part     ,         ,
caminado     ,futuro perfecto              ,Subjuntivo  ,tú          ,Masc   ,Sing   ,     ,       ,      ,Part     ,         ,
caminado     ,futuro perfecto              ,Subjuntivo  ,él          ,Masc   ,Sing   ,     ,       ,      ,Part     ,         ,
caminado     ,futuro perfecto              ,Subjuntivo  ,nosotros    ,Masc   ,Sing   ,     ,       ,      ,Part     ,         ,
caminado     ,futuro perfecto              ,Subjuntivo  ,vosotros    ,Masc   ,Sing   ,     ,       ,      ,Part     ,         ,
caminado     ,futuro perfecto              ,Subjuntivo  ,ellos       ,Masc   ,Sing   ,     ,       ,      ,Part     ,         ,
